id,source,title,url,deadline,description,scraped_at
3710fb4f0067,EIT Digital (28DIGITAL),Innovation Study Tours,https://28digital.eu/our-messages/calls-tenders/innovation-study-tours/,,,2026-05-28T16:21:40.675936+00:00
05adc5e11e1c,EIT Digital (28DIGITAL),External Experts for 28DIGITAL,https://28digital.eu/our-messages/calls-tenders/external-experts-for-28digital/,,,2026-05-28T16:21:40.676020+00:00
0e1cd33b04ad,EIT Health,Call for Tenders,https://eithealth.eu/call-for-tenders/,,,2026-05-28T16:21:40.991399+00:00
d8fb01ef48f9,EIT Health,Active EIT Health Tenders on dtvp.de (external portal),https://www.dtvp.de/en,,EIT Health publishes its active tenders on the dtvp.de procurement platform. Search for 'EIT Health' on that site to find all current open opportunities.,2026-05-28T16:21:40.991785+00:00
e93851b38694,EIT Climate-KIC,NZC CESF Procurement RFP - Bergamo,https://www.climate-kic.org/wp-content/uploads/2026/04/NZC-CESF-Procurement-RFP-SGA-MCCC-021-Bergamo_UPDATE_QA_FINAL-27_04.pdf,,"Climate KIC is looking for expert services for the Design and Enablement of a Youth and Children CCC Outreach and
Engagement Framework for the City of Bergamo. *The proposal submission deadline has be",2026-05-28T16:21:41.247766+00:00
b63c3814b969,EIT Climate-KIC,NZC CESF Procurement RFP - Glasgow,https://www.climate-kic.org/wp-content/uploads/2026/05/NZC-CESF-RFP-Procurement_SGA-MCCC-024-Glasgow-07.05.pdf,,"As part of NetZeroCities, Climate KIC is looking for external expert support to develop the prototypical concept design and implementation guidelines for Glasgow’s Community Renewable Energy Framework",2026-05-28T16:21:41.247922+00:00
b6c80f85d775,EIT Climate-KIC,NZC CESF Procurement RFP - Greece,https://www.climate-kic.org/wp-content/uploads/2026/05/RFP_2026_SGA2_Task-1.6-Greece-RFP2_MAY26_QAs_FINAL.pdf,,"As part of NetZeroCities, Climate KIC is looking for an expert support to organise national events on climate neutrality in Greece.",2026-05-28T16:21:41.248065+00:00
354da8fe4f8e,EIT Climate-KIC,On-Demand Advisory Services Supporting Urban Climate and Energy Transition,https://www.climate-kic.org/wp-content/uploads/2026/04/Climate-KIC_RFP_Framework_Advisory_Services_Energy_Transition_2026_UPDATE-April24.pdf,,"Climate KIC seeks to procure on-demand advisory, analytical, and capacity-building services to support energy systems transitions, climate strategies, and climate finance, primarily in the context of",2026-05-28T16:21:41.248211+00:00
396a416cc627,EIT Climate-KIC,NZC CESF Procurement RFP - Sønderborg,https://www.climate-kic.org/wp-content/uploads/2026/04/NZC-CESF-RFP-Procurement_SGA-MCCC-023-Sonderborg_UPDATE_QAS_FINAL-28.04.pdf,,Climate KIC is looking for an external expert support for the NetZeroCities CESF programme to assess industrial waste heat recovery and decarbonisation opportunities in Sønderborg.,2026-05-28T16:21:41.248359+00:00
90aa7f78a4e2,EIT Climate-KIC,NZC CESF Procurement RFP - Valencia,https://www.climate-kic.org/wp-content/uploads/2026/04/RFP_SGA-MCC-013-Valencia-Schools_April26_QAs.pdf,,"Climate KIC invites quotations for the engagement of an experienced consultancy company to conduct a pre-feasibility study for three schools in Valencia, as part of the City Expert Support Facility un",2026-05-28T16:21:41.248570+00:00
cf372249f784,EIT Climate-KIC,NZC CESF Procurement RFP - Czechia,https://www.climate-kic.org/wp-content/uploads/2026/02/V.2-RFP_2026_SGA2_Task-1.6-Czechia_.pdf,,"Climate KIC is looking for an expert support to facilitate the Community of Practice of
cities in the Czech Republic. *Please note that the deadline for submitting bids has changed and a list of quest",2026-05-28T16:21:41.248741+00:00
6c74076310f1,EIT Climate-KIC,Expert in inclusive climate innovation (long-term),https://www.climate-kic.org/download/73831/?tmstv=1768388726,,"Climate KIC is requesting an expert in inclusive climate entrepreneurship to support DEI (Diversity, Equity & Inclusion) capacity building with climate ventures, Entrepreneurship Support Organisations",2026-05-28T16:21:41.248901+00:00
c850370ba659,EIT Climate-KIC,NZC CESF Procurement RFP - Liepaja,https://www.climate-kic.org/wp-content/uploads/2025/11/SGA-MCCC-019-Liepaja-RfP_Final.pdf,,"The NetZeroCities team within Climate KIC is looking for an expert to run a pre-feasibility study for the energy community project of the City of Liepaja. 
*Please note that a list of questions and an",2026-05-28T16:21:41.249052+00:00
0a3f3340b7fd,EIT Climate-KIC,Advisory services for climate impact assessment,https://www.climate-kic.org/wp-content/uploads/2026/01/SGA-MCCC-019-Liepaja-RfP_FINAL_update-22.12.pdf,,Climate KIC is requesting quotation for a climate advisor that will work on mentoring and validating the climate impact self- assessment of startups with a focus on mitigation potential following a st,2026-05-28T16:21:41.249210+00:00
5d250f0ed88d,EIT Climate-KIC,NZC CESF Procurement RFP - City Finance Specialist,https://www.climate-kic.org/wp-content/uploads/2025/12/NZC-CESF-Procurement-for-CFSS_DEC.-25_FINALQAs-10.12.pdf,,"Climate KIC is looking for a finance expert to support cities in the NetZeroCities programme, through the NZC City Expert Support Facility. *Please note that the deadline for submitting bids has chang",2026-05-28T16:21:41.249385+00:00
7835f954210c,EIT Climate-KIC,City Expert Support Facility (CESF) for NetZeroCities programme,https://www.climate-kic.org/wp-content/uploads/2025/09/CESF-Procurement-SGA2-1.6_IRELAND_.pdf,,"Climate KIC is seeking expert support to the Community of Practice of 
cities in Ireland.",2026-05-28T16:21:41.249725+00:00
