pub_num,title,buyer,notice_type,cpv,deadline,link,value,currency,languages,duration,country,description,score,bucket,t1_hits,t2_hits,fetched_date,ai_relevant,ai_reason,winner
380863-2026,Germany – Business and management consultancy and related services – 10005371-Short Term Expert Support on Energy Efficiency and Renewable Energy in Buildings,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,cn-standard,"79400000, 79411100",2026-06-24,https://ted.europa.eu/en/notice/-/detail/380863-2026,,,ENG,—,DEU,"The contractor is responsible for contributing to the achievement of the objectives and indicators of the Project through the implementation of the following work packages and the fulfilment of the corresponding milestones outlined in the ToRs: Work Package 1: Development and Operationalisation of Financial Mechanisms for EE and RE in Public Buildings Work Package 2: Strengthening MRV Systems and Digital Energy Management Platforms Work Package 3: Technical Advisory and Tailored Support for Local Energy Transition Work Package 4: Knowledge Exchange, Capacity Development and Peer Learning Work Package 5: Strategic Support to the Climate and Just Energy Transition Partnership The contractor is responsible for overseeing the inclusion of safeguards and gender measures in order to promote gender equality and avoid or mitigate possible unintended negative impacts within its area of responsibility. In order to meet the requirements of the assignment, the contractor shall provide the technical experts required for the successful implementation of the work packages. This includes ensuring the availability of qualified experts with the necessary technical, methodological and sector-specific expertise in areas such as energy efficiency, renewable energy, financing mechanisms, MRV systems, digital energy management, municipal energy transition, capacity development, knowledge exchange, safeguards and gender. The contractor shall be responsible for the coordination, management and quality assurance of the expert team, ensuring that the required expertise is mobilised in a timely manner and in line with the specific needs of the project, the ToRs and the implementation partners.",5,Possible opportunity,,,2026-06-03,,,
375995-2026,"Netherlands – Business services: law, marketing, consulting, recruitment, printing and security – Europees openbare aanbesteding - Belastingen",Gemeente Veendam,cn-standard,"79000000, 75100000, 79100000, 79419000",2026-07-15,https://ted.europa.eu/en/notice/-/detail/375995-2026,318000.0,EUR,"NLD, NLD",2 year,NLD,"De opdracht voor perceel 1: Bezwaarafhandeling en herwaardering omvat het uitvoeren van de herwaardering van alle woningen en niet-woningen en de afhandeling van de ingekomen bezwaren tegen de WOZ-beschikking en OZB-aanslag De geraamde waarde voor perceel 1 herwaardering en bezwaarafhandeling bedraagt €318.000,00 exclusief BTW. De maximale waarde bedraagt €477.000,00 exclusief BTW. De opdracht voor perceel 2: Afhandeling van beroepszaken omvat de juridische ondersteuning en procesvertegenwoordiging van de gemeente bij beroepsprocedures inzake WOZ-beschikkingen, inclusief het opstellen van verweerschriften en het voeren van verweer bij de rechtbank en het gerechtshof. De geraamde waarde voor perceel 2 Afhandeling van beroepszaken bedraagt €117.000,00 exclusief BTW. De maximale waarde bedraagt €175.500,00 exclusief BTW.",3,Possible opportunity,,,2026-06-03,,,
379779-2026,Germany – Foreign economic-aid-related services – Auftragsänderung 1: 81315669-Accompagnement technique des projets innovants des Algerian Agripreneurs,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,can-modif,"75211200, 79411100",—,https://ted.europa.eu/en/notice/-/detail/379779-2026,,,,—,DEU,"The assignment shall contribute to achieving the results of the ""Program for the Development of Innovation in Agribusiness in Algeria (Innov-Agro)"" by implanting a training and coaching cycle of technical support entitled ""Algerian Agripreneurs"". The aim of the assignment is to provide technical support to ""Algerian Agripreneurs"" that are innovative project leaders and startups. This ""Algerian Agripreneurs"" cycle is a pilot model to be implemented as part of the InnovAgro action. Nevertheless, as part of the scaling-up of the action's achievements and after its completion, other ""Algerian Agripreneurs"" cycles could be implemented, by ecosystem players, with greater dimensions, scope and scale than the first pilot model. The contractor is responsible for implementing the ""Algerian Agripreneurs"" program by supporting two groups as key target groups under the InnovAgro project in Algeria: The first target group are ""Idea carriers"" who are young women and men with short, concrete and advanced ideas, or working on a prototype. They will be supported in realizing and testing their ideas, developing their business models and improving their prototypes, obtaining the ""innovative project"" label and/or evolving to become a start-up. The second target group are ""Start-ups"" and ""innovative projects"" that are already certified in the Algerian support ecosystem and who wish to improve their performance thriough support in the framework of the ""Algerian Agripreneurs"" cycle, to improve their business model, introduce their products and services to the market with economic viability and scalability. The assignment consists of different implementation steps for the ""Algerian Agripreneurs"": In step 1, the Innov-Agro project has developed analysis of innovative business opportunities in the agriculture, agri-food and agritech sectors and produced sheets of potentially viable business ideas. As step 2, GIZ organizes an attractiveness campaign to raise awareness, inform and mobilize 300 to 500 (young) idea carriers about entrepreneurship opportunities in the agriculture, agri-food and agritech sector, and about the project's approach to supporting ""Agripreneurs"" through a broad information campaign. Thanks to this campaign, conducted through online and offline communication channels, at least 300 people are expected to register on the project platform. The contractor will support in step 3 the selection of two groups to be supported on the basis of registrants: a 1st group of 100 idea carriers and a 2nd group of 25 ""innovative projects"" and ""startups"" The 1st group will benefit from ideation and concretization support prior to incubation. For group 1, support the identification and concretization of innovative ideas and projects through ideation formats with 100 people registered for ideation, then 80 people registered for concretization (step 4). A call for applications will be organized to select 40 innovative project ideas to be incubated and 25 ""innovative project",3,Market intelligence,,business model,2026-06-03,,,
375634-2026,"Germany – Business and management consultancy services – Fortführung und Weiterentwicklung des Skalierungsprogramms ""Scale-up.NRW"" - Konzeption, Ausbau und operative Umsetzung","Ministerium für Wirtschaft, Industrie, Klimaschutz und Energie des Landes Nordrhein-Westfalen",can-standard,79410000,—,https://ted.europa.eu/en/notice/-/detail/375634-2026,,,,43 month,DEU,"Eine detaillierte Beschreibung des Auftragsgegenstands ist der Aufgabenbeschreibung zu entnehmen. Im Kern ist Aufgabe des zukünftigen Auftragnehmers: 1. Konzeption der Fortführung und Weiterentwicklung von Scale-up.NRW Der Auftragnehmer erarbeitet ein Konzept, in dem dargestellt ist, wie das Programm Scale-up.NRW im Zeitraum ab 2026 aussehen soll. Das Konzept muss folgende Leistungen enthalten: a) Aufbau von Scale-up.NRW - Programm und Community Scale-up.NRW soll sich auch in der Fortführung als ein hochselektives Skalierungsprogramm für die besten Start-ups in Nordrhein-Westfalen verstehen, die bereits nachhaltigen Umsatz erzielen und über ein signifikant großes und erfahrenes Managementteam und Personal verfügen. Bei den teilnehmenden Unternehmen soll es sich um Start-ups handeln, die das Potential haben, sich zu einem international operierenden Unternehmen zu entwickeln. Ein kohortenbasiertes Programm wie bislang soll auch künftig fortgesetzt werden. Dabei können jedoch andere oder neuartige Schwerpunkte gesetzt werden, von der Kohortendauer über die Programmgestaltung bis hin zu den individuellen Begleitungsleistungen durch den Auftragnehmer. Verpflichtend gilt jedoch, dass pro Jahr eine Kohorte mit 10 bis 20 Start-ups starten soll. Die Programmdauer pro Kohorte soll bei 12 bis 24 Monaten liegen. Das Programm muss ein klares und transparentes Leistungsversprechen formulieren, welches Gründerinnen und Gründer davon überzeugt, sich für den kompletten Zeitraum der Kohorte in dem Programm zu engagieren. Zusätzlich zum kohortenbasierten Programm (1. Säule) soll sich Scale-up.NRW künftig auch als Community (2. Säule) verstehen, die einerseits Start-ups nach Abschluss der Programmkohorten bindet, andererseits aber auch weitere relevante Start-ups und Scale-ups einbezieht. So soll möglichst viel des im Ökosystem vorhandenen Skalierungswissens gebündelt und für das landesweite Ökosystem nutzbar gemacht werden. b) Mediakonzept, Kommunikationsstrategie, bestehende Wort-Bild-Marke Ergänzend zur Repräsentanz und Sichtbarkeit des Programmteams entwickelt der Auftragnehmer ein Mediakonzept und eine Kommunikationsstrategie. Ziel ist, einerseits das Angebot von Scale-up.NRW bei den relevanten Zielgruppen bekannt zu machen, andererseits den programminvolvierten Start-ups zusätzliche Sichtbarkeit zu verschaffen. Fortlaufende Mediaaktivitäten sind notwendig, um über Fortschritte und Er-folge der Teilnehmenden zeitnah zu informieren. Ziel der systematischen, zielgruppengerechten Kommunikation des Programms ist es, den Bekanntheitsgrad und das Renommee des Programms national wie international kontinuierlich zu steigern und eine hohe Außenwirkung im Sinne des Brandings zu erzielen. 2. Umsetzung des Konzepts Im Rahmen der Umsetzung des Konzepts sind folgende Leistungen vom Auftragnehmer zu erbringen: · Umsetzung der im abgestimmten Konzept skizzierten Maßnahmen; · Budgetsteuerung, -kontrolle und -abrechnung; · Wirksamkeitskontrolle des Skalierungsprogramms durch ein",1,Market intelligence,,scale-up,2026-06-03,,,Bietergemeinschaft unter Federführung der Start2Group GmbH
380746-2026,Belgium – Business and management consultancy services – Establishment of an Advisory Tool for the Outermost Regions (2025CE160AT003),"European Commission, DG REGIO - Regional and Urban Policy",can-standard,"79410000, 79000000, 79400000",—,https://ted.europa.eu/en/notice/-/detail/380746-2026,700000.0,EUR,,28 month,BEL,"The overall objective is to provide a support service to REGIO.A1 in setting up an advisory tool for the outermost regions (OR), run the secretariat of the advisory tool, support the launch of two calls for applications, support the evaluation process, and provide the advisory services to the outermost regions. The ultimate purpose of this assignment is to support the development of the outermost regions, the most remote parts of the Union, and contribute to bridging the gap with the rest of the EU.",1,Market intelligence,,advisory services,2026-06-03,,,ECORYS EUROPE EEIG - GEIE
381319-2026,Ireland – Social research services – Tender for a Feasibility Study for an Irish Language National Youth Radio Service and related Sectoral Impact and Public Value Assessments,Coimisiún na Meán,can-standard,"79315000, 79311400, 73000000, 73200000",—,https://ted.europa.eu/en/notice/-/detail/381319-2026,72777.0,EUR,,8 month,IRL,Staidéar Féidearthachta do Sheirbhís Raidió Náisiúnta Gaeilge don Óige agus measúnuithe tionchair earnála agus luacha poiblí gaolmhara ar son Coimisiún na Meán A Feasibility Study identifying cost-effective models and options for the establishment and provision of the Irish language youth radio service along with related sectoral impact (“SIA”) and public value (“PVA”) assessments.,1,Market intelligence,,feasibility study,2026-06-03,,,Oliver and Ohlbaum Associates Ltd
369103-2026,Denmark – Research consultancy services – Consulting services,Aalborg Universitet,veat,"73210000, 73000000, 73200000",—,https://ted.europa.eu/en/notice/-/detail/369103-2026,,,,—,DNK,"Strategic Objective. Aalborg University (AAU) is at the forefront of developing the software infrastructure and genomic methodologies essential for reconstructing and organizing the evolutionary history of life. A primary current objective is the integration of fungal diversity into the Genome Taxonomy Database (GTDB). This represents a critical expansion of this taxonomic resource, which is presently focused on bacterial and archaeal diversity. To achieve this primary objective, AAU requires a specialist who bridges the gap between high-level software engineering and advanced knowledge of phylogenetic inference and genome-centric methodologies. An individual with the following skills is being sought: • A PhD in Computer Science, Bioinformatics, Microbiology, or related field • Extensive experience with software development in Python and Rust • Experience with the Postgres database management system • Advanced knowledge of genome-based phylogenetic inference and genome-centric methodologies • Proven record of high-quality, high-impact journal publications • Proven record of bioinformatic software applications adopted by the research community • Strong communication skills including the ability to present at international conferences Unique Qualifications of Dr. Donovan Parks. The Center for Microbial Communities at AAU seeks to appoint Dr. Donovan Parks as a Consultant to lead the fungal expansion of the GTDB. Dr. Parks is uniquely qualified for this role for the following reasons: • Architect of the GTDB: As the lead bioinformatician of the GTDB for over a decade, Dr. Parks possesses a deep understanding of the resources underlying architecture. His institutional knowledge is critical for ensuring the fungal expansion is seamless and maintains the rigorous standards of the existing framework. • Specialized Technical Skills: Dr. Parks holds an MSc in Computer Engineering, PhD in Computer Science, and performed post-doctoral research in microbial phylogenomics which has provided him with the software engineering skills (Python, Rust, Postgres) and bioinformatic skills (genome-based phylogenetic inference and genome-centric methodologies) required for this project. • Global Academic Impact His academic record is exceptional, featuring an h-index of 51 and over 70,000 citations. This demonstrates not only the quality of his research but also the global adoption of the bioinformatic tools he has developed. • Proven Leadership: Dr. Parks has a documented history of communicating complex scientific findings at the highest international levels. Justification for Direct Appointment. The technical requirements for this position demand a candidate who possesses a deep familiarity with the GTDB's computing infrastructure and phylogenomic pipelines. There are few individuals globally who possess this specific intersection of computer science expertise and advanced knowledge of genome-based phylogenetic inference and genome-centric methodologies. Given his on",5,Possible opportunity,,,2026-05-29,,,
364715-2026,"Belgium – Research and Development services on security and defence materials – HUB for EU DEFENCE INNOVATION (HEDI): Technology watch, landscaping - Military Utility Assessment - Market consultation - Defence Innovation Training Courses",European Defence Agency,can-standard,"73400000, 79400000, 80500000, 72220000",—,https://ted.europa.eu/en/notice/-/detail/364715-2026,800000.0,EUR,,48 month,BEL,"The key objective of the project is to provide a continuous and structured assessment of technological developments across both defence and non-defence sectors, identifying emerging trends, weak signals, and dual-use innovations that could impact EU security and defence. The overarching objective of Lot 2 under the Defence Frontier Insights (DFI) framework is to design, operationalize, and implement a robust Military Utility Assessment (MUA) framework that supports the structured evaluation of emerging technologies for potential defence applications. Provide expert consultancy services to support comprehensive needs assessments, market research, and the facilitation of targeted market consultations aimed at bridging the gap between innovation suppliers and defence end-users. Activities will include the generation of market intelligence and detailed supplier mapping to identify key industry players, including emerging and high-potential companies relevant to defence innovation. The contractor will be responsible for organizing and moderating structured engagements between defence stakeholders and the industrial base to foster dialogue, align expectations, and identify opportunities for collaboration. In addition, this lot encompasses the development of procurement roadmaps to support the structured adoption of innovative technologies within defence frameworks. Advisory services will also be provided on the regulatory, policy, and procedural considerations that may impact the integration of novel solutions into defence procurement processes The objective of this framework contract is to develop and deliver a structured, high-quality Defence Innovation Course tailored to the needs of EU Ministries of Defence (MoDs) and relevant defence stakeholders. The course aims to foster a harmonised understanding of defence innovation concepts, processes, and ecosystems across EU Member States, while equipping participants with the practical skills and competencies necessary to initiate, manage, and scale innovation activities within defence organisations.",4,Market intelligence,,"dual-use, market intelligence, advisory services",2026-05-29,,,CGI France SAS | Fraunhofer | TECHNOPOLIS BV | CGI France SAS | Verhaert | UAB CIVITTA | CGI France SAS | SOPRA STERIA BELGIUM | FORWARD GLOBAL | BPTI | CEA | AIT | CAPGEMINI BELGIUM
366419-2026,Netherlands – Research services – DARWIN EU® Coordination Centre 2,"European Medicines Agency, MED - European Medicines Agency",cn-standard,"73110000, 72316000, 72322000, 73200000",—,https://ted.europa.eu/en/notice/-/detail/366419-2026,65000000.0,EUR,"BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE",60 month,NLD,"The services to be delivered by this procedure include the operation and maintenance of the DARWIN EU® Coordination Centre, the onboarding and maintenance of data partners, conduct of non-interventional studies in compliance with applicable Union data protection rules for a maximum period of five years (1+2+2 years).",3,Possible opportunity,,,2026-05-29,,,
360207-2026,Czechia – Structural engineering consultancy services – Dynamic purchasing system for optomechanical design and simulation services for COMPASS Upgrade (DNS),"Ústav fyziky plazmatu AV ČR, v. v. i.",cn-standard,"71312000, 73100000, 73000000, 73200000",—,https://ted.europa.eu/en/notice/-/detail/360207-2026,4000000.0,CZK,"CES, ENG",3 year,CZE,Předmětem veřejných zakázek zadávaných prostřednictvím DNS bude řešení řešení konstrukčních úkolů a numerických simulací klíčových pro potřeby konstrukčního a integračního návrhu zařízení projektu COMPASS–U.,3,Possible opportunity,,,2026-05-28,,,
