pub_num,title,buyer,notice_type,cpv,deadline,link,value,currency,languages,duration,country,description,score,bucket,t1_hits,t2_hits,ai_relevant,ai_reason,fetched_date,winner
519741-2026,Belgium – Public relations services – Call for Tender for media monitoring services,"European Commission, DG COMM - Communication",cn-standard,"79416000, 72310000, 79310000, 92400000",2026-09-07,https://ted.europa.eu/en/notice/-/detail/519741-2026,27500000.0,EUR,"BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE",48 month,BEL,"The subject of this call for tenders is Media monitoring services for the European Commission. Communication patterns and media monitoring methods change as information technology develops. For this reason, this call for tenders aims to obtain the best services, using state-of-the-art technology and methods adapted to an evolving research area throughout the duration of the framework contract.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
519804-2026,Belgium – Research consultancy services – EU space Data (Galileo and Copernicus) Integration to support fisheries control,"European Commission, DG DEFIS - Defence Industry and Space",cn-standard,"73210000, 34513100, 34712200",2026-09-18,https://ted.europa.eu/en/notice/-/detail/519804-2026,2000000.0,EUR,"BUL, CES, DAN, DEU, ELL, ENG, SPA, EST, FIN, FRA, GLE, HRV, HUN, ITA, LIT, LAV, MLT, NLD, POL, POR, RON, SLK, SLV, SWE",31 month,BEL,"This procurment implements a Pilot Project.The pilot project will define minimum technical, operational and regulatory requirements for the integration of EU Space data (Galileo and Copernicus) to support fisheries control. Currently there are no standards and no regulations for the use of GNSS (e.g. Galileo authentication) and Copernicus services (SAR and optical images) to be used for law enforcement. The project will contribute to the work of European Committees for drawing up standards in the field of fisheries control.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
520323-2026,Ireland – Research and development consultancy services – Consultancy in Genetic Genomic breeding program design and implementation,Irish Cattle Breeding Federation,cn-standard,73200000,2026-08-26,https://ted.europa.eu/en/notice/-/detail/520323-2026,700000.0,EUR,ENG,5 year,IRL,"ICBF wishes to enter into a contract to acquire knowledge, skills and expertise relevant to undertake tasks related to operating large scale routine genetic genomic evaluations in livestock, experience in developing new phenotypes relevant for livestock breeding, experience in developing new breeding programs as per details below and experience in the development, validation and deployment of individual animal sustainability and climate orientated metrics and their integration into breeding programs. The requirement is estimated at 150 days of service provision per year, delivered on-site at ICBF offices if required",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
520425-2026,"Ireland – Environmental engineering consultancy services – Donegal County Council -The Two Rivers - Catchment, Community and Climate Project, Carndonagh, Co. Donegal",Donegal County Council_1193,cn-standard,"71313000, 90710000, 85322000, 90712400",2026-08-14,https://ted.europa.eu/en/notice/-/detail/520425-2026,35000.0,EUR,ENG,13 month,IRL,"Donegal County Council wish to procure professional services to deliver this project over a 13-month period. The project involves catchment assessments and GIS mapping, design and delivery of educational and awareness activities, the establishment of a local catchment stewardship group, development and coordination of a source-to-sea citizen science monitoring programme, and the implementation of a pilot riparian habitat restoration project. The overall objective is to improve biodiversity, water quality and climate resilience while empowering local communities, schools and stakeholders to play an active role in the long-term management and protection of their river environments within the Carndonagh Decarbonising Zone.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
521291-2026,"France – Oceanography and hydrology services – Référencement (SEO), développement, gestion et traductions automatiques des sites web institutionnels de Mercator Océan",MERCATOR OCEAN,cn-standard,"71351920, 71351900, 72413000, 72250000",2026-09-01,https://ted.europa.eu/en/notice/-/detail/521291-2026,80000.0,EUR,"ENG, ENG, ENG",24 month,FRA,"Audit complet du référencement naturel (SEO), de la performance et de l’expérience utilisateur (UX) du site web Développement et maintenance technique du site web corporate et de l’intranet Mise en œuvre et exploitation d’un système de traduction automatique bilingue anglais/français",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
521345-2026,Netherlands – Evaluation consultancy services – Evaluatie zelfstandige teams,Stichting Jeugd Kennemerland,pmc,"79419000, 79311000, 79315000, 79414000",—,https://ted.europa.eu/en/notice/-/detail/521345-2026,,,NLD,—,NLD,Ervaringen ophalen binnen de organisatie over het werken in zelfstandige teams.,,Live opportunity,,,True,API error 401 — kept,2026-07-29,
522060-2026,Ireland – Supply services of personnel including temporary staff – 9713 Labour Services Framework Agreement,Iarnród Eireann-Irish Rail,cn-standard,"79620000, 79600000, 79623000",2026-08-28,https://ted.europa.eu/en/notice/-/detail/522060-2026,56250000.0,EUR,"ENG, ENG, ENG, ENG",8 year,IRL,"This is a call to competition by IÉ for the provision of Labour Services across the Network The PQQ has been divided into 4 Specific Lots • Lot 1 – General Labour Support Services • Lot 2 – Specific Trade Labour Support Services for Mechanical Engineering • Lot 3 – Specific Trade Labour Support Services for Civil Engineering and Facilities Management • Lot 4 – Specific Trade Support Services for Chief Engineer SET The provision of labour services is essential to support the delivery of Iarnród Éireann’s day to day maintenance and capital projects requirements. This Framework Agreement will provide a mechanism for Iarnród Éireann to hire suitably qualified labour such as charge-hands, tradespersons, general operatives, etc. to assist in carrying out scheduled maintenance and emergency services on the rail network and within depots. This is a call to competition by IÉ for the provision of Labour Services across the Network The PQQ has been divided into 4 Specific Lots • Lot 1 – General Labour Support Services • Lot 2 – Specific Trade Labour Support Services for Mechanical Engineering • Lot 3 – Specific Trade Labour Support Services for Civil Engineering and Facilities Management • Lot 4 – Specific Trade Support Services for Chief Engineer SET The provision of labour services is essential to support the delivery of Iarnród Éireann’s day to day maintenance and capital projects requirements. This Framework Agreement will provide a mechanism for Iarnród Éireann to hire suitably qualified labour such as charge-hands, tradespersons, general operatives, etc. to assist in carrying out scheduled maintenance and emergency services on the rail network and within depots. This is a call to competition by IÉ for the provision of Labour Services across the Network The PQQ has been divided into 4 Specific Lots • Lot 1 – General Labour Support Services • Lot 2 – Specific Trade Labour Support Services for Mechanical Engineering • Lot 3 – Specific Trade Labour Support Services for Civil Engineering and Facilities Management • Lot 4 – Specific Trade Support Services for Chief Engineer SET The provision of labour services is essential to support the delivery of Iarnród Éireann’s day to day maintenance and capital projects requirements. This Framework Agreement will provide a mechanism for Iarnród Éireann to hire suitably qualified labour such as charge-hands, tradespersons, general operatives, etc. to assist in carrying out scheduled maintenance and emergency services on the rail network and within depots. This is a call to competition by IÉ for the provision of Labour Services across the Network The PQQ has been divided into 4 Specific Lots • Lot 1 – General Labour Support Services • Lot 2 – Specific Trade Labour Support Services for Mechanical Engineering • Lot 3 – Specific Trade Labour Support Services for Civil Engineering and Facilities Management • Lot 4 – Specific Trade Support Services for Chief Engineer SET The provision of labour services is essential to supp",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
522258-2026,Luxembourg – Research and development consultancy services – FUTERR – Supporting the Territorial Futures Forum,ESPON EGTC,cn-standard,"73200000, 79421000",2026-10-02,https://ted.europa.eu/en/notice/-/detail/522258-2026,275000.0,EUR,ENG,—,LUX,"The project aims to inform the strategic reflection and the research policy dialogue at five Territorial Futures Forum sessions organised by EU Council presidencies. It seeks to offer support to the Presidencies of the Council of the EU and to intergovernmental cooperation in understanding and use ESPON evidence for the sake of developing a shared territorial vision for Europe. For that purpose, it will focus on the identification, compilation, consolidation, presentation and transfer of territorial evidence findings relevant to the themes featured in the Road Map document and according to needs expressed by the Member States.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
522497-2026,Ireland – Subsea pipelines – 25-024 Marine Outfall Pipeline for the proposed Greater Dublin Drainage (GDD) Project,Uisce Éireann,veat,44161410,—,https://ted.europa.eu/en/notice/-/detail/522497-2026,,,,—,IRL,"The Contracting Entity is procuring the main contracts for the GDD Project. In the meantime, the Contracting Entity intends to use the negotiated procedure without prior call for competition for the award of a reservation slot agreement with Pipelife AS in respect of the marine outfall pipeline element of the GDD Project. It is intended that the successful main contractor for this element of the GDD Project will then enter into a supply only agreement with Pipelife AS for the marine outfall pipeline.",,Live opportunity,,,True,API error 401 — kept,2026-07-29,
522518-2026,Greece – Business development consultancy services – Παροχή συμβουλευτικών υπηρεσιών για την υποστήριξη της στρατηγικής και του μετασχηματισμού δραστηριοτήτων και διαδικασιών της Γενικής Διεύθυνσης Οικονομικών Υπηρεσιών του ΔΕΔΔΗΕ,Διαχειριστής Ελληνικού Δικτύου Διανομής Ηλεκτρικής Ενέργειας Α.Ε. (ΔΕΔΔΗΕ),cn-standard,79411100,2026-08-24,https://ted.europa.eu/en/notice/-/detail/522518-2026,3000000.0,EUR,"ELL, ENG",18 month,GRC,Παροχή συμβουλευτικών υπηρεσιών για την υποστήριξη της στρατηγικής και του μετασχηματισμού δραστηριοτήτων και διαδικασιών της Γενικής Διεύθυνσης Οικονομικών Υπηρεσιών του ΔΕΔΔΗΕ,,Live opportunity,,,True,API error 401 — kept,2026-07-29,
